"YEAR(YEAR)","Measure Names","Measure Values"
2015-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",3.2745454545454544
2015-01-01 00:00:00,"Avg. of AVG_RATING",3.3063636363636366
2016-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.731666666666667
2016-01-01 00:00:00,"Avg. of AVG_RATING",2.9208333333333334
2017-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.5966666666666667
2017-01-01 00:00:00,"Avg. of AVG_RATING",2.745
2018-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.1133333333333333
2018-01-01 00:00:00,"Avg. of AVG_RATING",2.3825
2019-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.22
2019-01-01 00:00:00,"Avg. of AVG_RATING",2.5516666666666667
2020-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.3966666666666665
2020-01-01 00:00:00,"Avg. of AVG_RATING",2.4625
2021-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",1.9324999999999999
2021-01-01 00:00:00,"Avg. of AVG_RATING",2.0925
2022-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",1.9383333333333332
2022-01-01 00:00:00,"Avg. of AVG_RATING",2.27
2023-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.044166666666667
2023-01-01 00:00:00,"Avg. of AVG_RATING",2.3358333333333334
2024-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",2.185
2024-01-01 00:00:00,"Avg. of AVG_RATING",2.4883333333333333
2025-01-01 00:00:00,"Avg. of AVG_MONEY_VALUE",1.97375
2025-01-01 00:00:00,"Avg. of AVG_RATING",2.31875